id,word,form,quest,answer,history
1,北海道,place,北海道,札幌市中央区北3条西6-1,
2,青森県,place,青森県,青森市長島1-1-1,
3,岩手県,place,岩手県,盛岡市内丸10-1,
4,宮城県,place,宮城県,仙台市青葉区本町3-8-1,
5,秋田県,place,秋田県,秋田市山王4-1-1,
6,山形県,place,山形県,山形市松波2-8-1,
7,福島県,place,福島県,福島市杉妻町2-16,
8,茨城県,place,茨城県,水戸市笠原町978-6,
9,栃木県,place,栃木県,宇都宮市塙田1-1-20,
10,群馬県,place,群馬県,前橋市大手町1-1-1,
11,埼玉県,place,埼玉県,さいたま市浦和区高砂3-15-1,
12,千葉県,place,千葉県,千葉市中央区市場町1-1,
13,東京都,place,東京都,新宿区西新宿2-8-1,
14,神奈川県,place,神奈川県,横浜市中区日本大通1,
15,新潟県,place,新潟県,新潟市中央区新光町4-1,
16,富山県,place,富山県,富山市新総曲輪1-7,
17,石川県,place,石川県,金沢市鞍月1-1,
18,福井県,place,福井県,福井市大手3-17-1,
19,山梨県,place,山梨県,甲府市丸の内1-6-1,
20,長野県,place,長野県,長野市大字南長野字幅下692-2,
21,岐阜県,place,岐阜県,岐阜市藪田南2-1-1,
22,静岡県,place,静岡県,静岡市葵区追手町9-6,
23,愛知県,place,愛知県,名古屋市中区三の丸3-1-2,
24,三重県,place,三重県,津市広明町13,
25,滋賀県,place,滋賀県,大津市京町4-1-1,
26,京都府,place,京都府,京都市上京区下立売通新町西入薮ノ内町,
27,大阪府,place,大阪府,大阪市中央区大手前2-1-22,
28,兵庫県,place,兵庫県,神戸市中央区下山手通5-10-1,
29,奈良県,place,奈良県,奈良市登大路町30,
30,和歌山県,place,和歌山県,和歌山市小松原通1-1,
31,鳥取県,place,鳥取県,鳥取市東町1-220,
32,島根県,place,島根県,松江市殿町1,
33,岡山県,place,岡山県,岡山市北区内山下2-4-6,
34,広島県,place,広島県,広島市中区基町10-52,
35,山口県,place,山口県,山口市滝町1-1,
36,徳島県,place,徳島県,徳島市万代町1-1,
37,香川県,place,香川県,高松市番町4-1-10,
38,愛媛県,place,愛媛県,松山市一番町4-4-2,
39,高知県,place,高知県,高知市丸ノ内1-2-20,
40,福岡県,place,福岡県,福岡市博多区東公園7-7,
41,佐賀県,place,佐賀県,佐賀市城内1-1-59,
42,長崎県,place,長崎県,長崎市尾上町3-1,
43,熊本県,place,熊本県,熊本市中央区水前寺6-18-1,
44,大分県,place,大分県,大分市大手町3-1-1,
45,宮崎県,place,宮崎県,宮崎市橘通東2-10-1,
46,鹿児島県,place,鹿児島県,鹿児島市鴨池新町10-1,
47,沖縄県,place,沖縄県,那覇市泉崎1-2-2,
